sym,traded_episodes,iceberg_episodes,iceberg_rate_pct,exec_vol_base,hidden_vol_base,hidden_frac_pct,hidden_frac_notional_pct
BTCUSDT,1484651,155529,10.475795321594099,388114.057692,12376.511083000005,3.1888850294677473,3.192757167048313
ETHUSDT,1638622,165651,10.109164895869823,3925350.8836,155649.2149,3.965230612893686,3.6633434592175815
SOLUSDT,1706364,205935,12.068644204870708,41795686.478,1658898.879,3.969067190398212,3.920808616443261
AVAXUSDT,502388,9325,1.8561350987682825,36094467.68,482620.2700000001,1.3371031657225982,1.4867731903224717
