pair,z_entry,rev_24,rev_48,rev_72
GRTUSDT_ZILUSDT,2.012203677700243,1.4712313301888738,1.9398894894176686,2.876805691334113
GRTUSDT_ZILUSDT,-2.0297853654326987,1.1401423128337058,2.2619178665038593,1.8485622559286525
GRTUSDT_ZILUSDT,-2.037122015310981,1.1780322112348502,1.0904104762194284,2.141857959762096
GRTUSDT_ZILUSDT,2.7012138026044057,0.48552510853609965,0.19457277933529893,0.7617308756058707
GRTUSDT_ZILUSDT,2.445077132318727,2.770565813609049,-0.08650614514092725,0.11199344050955995
GRTUSDT_ZILUSDT,2.333083691809167,0.9730614362102941,0.43201455019101886,1.3231481747237472
GRTUSDT_ZILUSDT,-2.0884360115742853,1.5948366980519908,1.5306722822658672,2.479270642650074
GRTUSDT_ZILUSDT,2.089601549503213,0.6158911475873083,1.51968484599332,1.481774360718433
GRTUSDT_ZILUSDT,-2.152444752536149,1.8111173241497958,-0.0012459009692111778,0.029472580036626894
GRTUSDT_ZILUSDT,-2.122972172499522,1.4075083879337749,1.5991277888821747,1.0469937569651901
GRTUSDT_ZILUSDT,-2.0459593491575583,-1.5702464408893744,0.2838048053779001,0.07249039163012982
GRTUSDT_ZILUSDT,2.163161237233471,0.05467859776102646,0.5485738557505104,3.7031589988079556
GRTUSDT_ZILUSDT,-2.112298001913973,0.41593137978656025,1.3839264756723944,1.6139527261942672
GRTUSDT_ZILUSDT,2.004383143440221,1.1269624782116865,1.5479543102085025,2.4284573338678377
GRTUSDT_ZILUSDT,-2.1137724531667765,0.9420094460851796,0.34487360426300584,-1.1086522937589294
GRTUSDT_ZILUSDT,-3.222424746925706,2.063118211622476,1.4060217860809845,2.2818765720536653
GRTUSDT_ZILUSDT,2.321513740871435,2.3216512716957425,0.4153838235399703,0.8489963771738589
GRTUSDT_ZILUSDT,2.066505676168804,-0.012200554923882834,0.03708897230970987,0.5964855027332518
GRTUSDT_ZILUSDT,2.450753640319642,0.9644854868538191,0.12260648705251498,-0.24151194635747464
GRTUSDT_ZILUSDT,2.6922655866771166,1.2984016912246559,2.1144874012027763,1.8111411370423385
GRTUSDT_ZILUSDT,2.6267823810076316,-0.17819469490783213,-0.35876491657907694,1.0911090481212153
GRTUSDT_ZILUSDT,2.299250192881828,0.26035374673387635,1.143341218428852,0.5685867485161182
GRTUSDT_ZILUSDT,-2.0564772786070122,1.171971041067343,2.5998994488143374,3.2615846828118196
GRTUSDT_ZILUSDT,2.045468750062483,3.133370609727413,1.631288923099493,1.2741393420525617
GRTUSDT_ZILUSDT,-2.009867851796533,2.7056027502276616,2.4342627834680792,1.3532811994261529
GRTUSDT_ZILUSDT,-2.0042010371804957,1.697811739015207,2.1387073480683467,2.035329883909128
GRTUSDT_ZILUSDT,-3.134866852731155,6.059583415734542,3.941972005939083,3.518811580988818
GRTUSDT_ZILUSDT,2.026027597149882,2.9561165363246507,-0.11784713246764822,1.3305936478395366
GRTUSDT_ZILUSDT,2.439476138066919,-2.0595959576223044,0.4849589788604107,0.7721242596240183
GRTUSDT_ZILUSDT,2.2056383805120237,1.5667859305104188,2.8925384265194722,3.032944376366699
GRTUSDT_ZILUSDT,-2.167005176668533,0.13522776203245446,0.8739805893922019,1.067630082830192
