sym,contemp_incr_book,h1,h2,h5,h10,h30,h60,h120,h300
BTCUSDT,0.15475710347480476,0.002902874136697653,0.0030060597707107783,0.002190056162165721,0.001410713864433255,0.0005265838632584341,0.0006293317219085992,0.0003291820783102306,0.00014149779153793673
ETHUSDT,0.11371680585330646,0.0012583974692423894,0.0012938162472271308,0.000838225008003568,0.00030777895072209294,0.00019343911366187516,0.00014867507560989424,6.274319209509382e-05,9.754435393127814e-05
SOLUSDT,0.1993257574983086,0.001563453246562041,0.0014968343475266765,0.0010235526774207138,0.0004721057937941975,0.00025270268201049717,0.00025297334254648085,0.00018448351513056238,0.00022675339493971602
AVAXUSDT,0.47594782038684713,0.0019765669351871074,0.0018930782948218816,0.0012977988705895616,0.00043402973695738645,1.478583303349268e-06,0.00010316551057798495,0.00016701992669210242,0.00017038618248754744
