K,monthlyS,maxDD_pct,worst_pw_pct,retain
,2.285376429164505,-40.38269916197954,-282.12056116814716,1.0
0.25,1.9606190921967972,-20.427546309433204,-130.9802792033925,0.8578976606114583
0.3,1.9450114246368488,-28.238785818818506,-130.9802792033925,0.8510682965903836
0.4,2.1405885397578306,-23.34327832889412,-130.9802792033925,0.9366459338781198
0.5,2.2844221807824847,-29.531315159141325,-130.9802792033925,0.9995824546145471
0.6,2.271817968173965,-32.80822866875933,-133.11770800704008,0.9940672963904258
0.7,2.3084455659220766,-37.43398861742574,-163.52132956955546,1.0100942393835772
0.8,2.330503028059587,-37.418351289017835,-168.10504691976487,1.0197458056883781
0.9,2.30976014046926,-37.70451130262391,-207.22196112345776,1.010669450771254
