coin,collapse_date,worst_7d_drop_pct,nostop_pnl_pct,nostop_maxdd_pct,cb_pnl_pct,cb_maxdd_pct
LUNAUSDT,2022-05-13,-99.99993885288004,-201.20988942285774,-1336.2894025489868,-90.75154040588174,-116.7199094847092
USTUSDT,2022-05-13,-75.41718343668732,-116.46842915788778,-132.4266209279758,-77.81150215803558,-93.76969392812362
FTTUSDT,2022-11-14,-94.31942575145806,-258.21094399366683,-276.44668959893477,-64.88794182617812,-72.5080583606934
