label,n,post_rate,fill_pct,spread,agg,naive,l3,l3_flip,oracle,anti,placebo,placebo_sd,edge_vs_placebo,z_l3,oracle_save_vs_agg,corr_sig
BTCUSDT,7488,35.14957264957265,46.62126068376068,0.006083432120497486,0.05278618425518698,1.5635403607888445,0.6722619066730842,0.9440646383709471,-0.314392715628827,1.9307192606728583,0.5834639985270872,0.027190274326081294,-0.08879790814599697,3.265796699256571,0.367178899884014,0.06713116929982635
ETHUSDT,7488,34.69551282051282,43.34935897435898,0.03945780245535424,0.1662982854424698,2.057453731548287,0.8665715632819437,1.3571804537088132,-0.3364676183125596,2.5602196353033166,0.8214106625015131,0.03584430453610543,-0.04516090078043067,1.2599184546861766,0.5027659037550294,0.03771747104428845
SOLUSDT,7488,33.386752136752136,43.830128205128204,0.7195749884839245,0.9200424267539192,3.0186952467235275,1.6853610100104464,2.2533766634670003,-0.3660298754614191,4.304767548938865,1.6212547864870042,0.05029435128850821,-0.0641062235234422,1.2746207452941116,1.2860723022153384,0.02416216134876319
AVAXUSDT,7488,41.69337606837607,11.87232905982906,3.273762849813885,3.270035374222149,4.1365344262212105,3.6943586867735556,3.7122111136698037,-0.1678421799168984,7.574411980360258,3.630847260734923,0.06857577838062985,-0.06351142603863247,0.92614954636187,3.4378775541390474,0.0370867985579505
LINKUSDT,7488,39.85042735042735,9.521901709401709,4.153773045684935,4.3560917366919405,5.027801452544149,4.626861696839025,4.757031492397064,0.922419052841075,8.461474136395015,4.625862817336435,0.06533664311943185,-0.0009988795025899222,0.015288197478465866,3.4336726838508653,-0.030942656679021508
ADAUSDT,7488,41.93376068376068,11.097756410256409,2.222473273841861,3.0385075468353078,4.200109296320142,3.7071384351096204,3.5314784080458286,0.09084047920838483,7.147776363947064,3.5272326520634727,0.0670290239958014,-0.17990578304614768,2.683998249137817,2.9476670676269228,0.06416384970199336
USDCUSDT,7488,48.26388888888889,0.9748931623931624,1.0001944353491095,0.5007954800739008,0.49896747790641666,0.5081653532739028,0.4915976047064147,0.47785027375168965,0.5219126842286279,0.49990901329885945,0.0012362266772188576,-0.008256339975043325,6.678661872608699,0.022945206322211198,0.04053593126694771
XRPUSDT,7488,40.17094017094017,21.287393162393162,1.742417566869932,1.4672216708061272,2.93276228174285,2.1290809805897535,2.2709029719592237,-0.2955190637280303,4.695503016277008,2.056505025243363,0.05042727682083291,-0.0725759553463905,1.4392201983115487,1.7627407345341575,0.021869260882096918
BNBUSDT,7488,38.75534188034188,23.170405982905983,1.7675023631908595,1.302700815429383,2.483159866942616,1.8722804770108294,1.9135802053611695,-0.2930495608153224,4.078910243187321,1.7594808447154378,0.042085132979638416,-0.1127996322953917,2.6802726832291652,1.5957503762447054,0.03226703930067556
DOGEUSDT,7488,35.41666666666667,26.575854700854702,0.8458091148506869,1.734840520438097,3.565272041896436,2.525661548442587,2.7744510138919467,-0.4934928262414507,5.793605388575984,2.381696211436045,0.06492553510770688,-0.1439653370065419,2.2173916128332802,2.228333346679548,0.024139294897356448
FETUSDT,7488,43.215811965811966,9.775641025641026,5.611031191627506,8.804063138935588,8.99417551883878,8.935750874967711,8.862487782806655,3.797806630335425,14.000432027438944,8.888892333902065,0.08803427702100242,-0.04685854106564591,0.5322760934864816,5.0062565086001625,0.022009674426349324
VETUSDT,7488,47.06196581196581,3.258547008547009,3.683702762401333,14.787897472362907,15.164431997435221,15.141688268791363,14.810641201006769,10.508559576556792,19.44376989324134,14.965551590459622,0.07881766373257282,-0.17613667833174063,2.234736098362035,4.2793378958061155,0.05361244170531512
GALAUSDT,7488,45.80662393162393,5.836004273504273,3.819705888968153,8.304257946456396,9.01838840273451,8.89171334943303,8.430932999757877,3.587267989511209,13.735378359679697,8.632051199927362,0.08483482174659288,-0.259662149505667,3.060796783204127,4.716989956945186,0.02510003185929006
SHIBUSDT,7488,43.108974358974365,11.177884615384617,6.043189703178337,4.431405242242168,5.677229228212664,5.069598336963689,5.039036133491144,0.8802295532730462,9.228404917181788,4.9675589782844325,0.07297707010100114,-0.10203935867925651,1.3982386321899853,3.5511756889691224,0.023107889731990974
LTCUSDT,7488,41.93376068376068,7.518696581196581,1.4088149974394866,3.166916496498054,3.8103590048847895,3.4766267339557384,3.5006487674271045,0.4412385469239514,6.536036954458892,3.436290709655627,0.055802811660021066,-0.040336024300111184,0.7228313968453531,2.7256779495741026,0.01678949964536871
ATOMUSDT,7488,43.29594017094017,3.7793803418803416,1.9506460607030776,6.173437557909129,6.567835920120214,6.577611715519291,6.163661762510052,2.8302902489247526,9.910983229104593,6.34148994334419,0.06600922614782738,-0.23612177217510144,3.5771025651218475,3.343147308984377,0.03632818979275335
DOTUSDT,7488,42.33440170940171,7.839209401709402,1.7665554228967004,4.551631758919927,5.354578859442498,5.033946742991153,4.872263875371273,1.3135914874168524,8.592619130945574,4.8908113273286835,0.063372110548631,-0.1431354156624698,2.2586499711514167,3.238040271503075,0.04516239861955599
XLMUSDT,7488,51.736111111111114,1.7761752136752136,9.039413836062836,9.589576870548258,9.77911948479079,9.851866060469135,9.516830294869916,6.585516958447025,12.783179396892026,9.68763103417917,0.06255469832327229,-0.16423502628996545,2.6254626861315216,3.0040599121012335,0.05662042898685162
HBARUSDT,7488,49.011752136752136,3.0715811965811963,12.181130020679543,11.221191650092868,11.518264936862314,11.538230579659805,11.201226007295377,7.381304075884238,15.358152511070944,11.367281820528397,0.07439273414725334,-0.1709487591314076,2.2979227889787035,3.83988757420863,0.049578002945877414
ONEUSDT,7488,55.662393162393165,0.5608974358974359,7.174305097956541,37.00111915732682,37.362630604077985,37.43861595065625,36.92513381074855,31.9351588776407,42.4285908837641,37.20114881777574,0.10222321630150684,-0.2374671328805107,2.323025448349254,5.06596027968612,0.045063393713356666
VTHOUSDT,7488,68.13568376068376,1.842948717948718,7.777292314280228,63.380543323337314,64.30729701300113,63.94238960740336,63.745450728935076,58.785998268018716,68.90184206831974,64.0123113353714,0.10835077107355587,0.06992172796802976,-0.6453274607576363,4.594545055318598,0.0012495526227639501
BCHUSDT,7488,44.55128205128205,5.528846153846153,2.753825130428842,5.298419043206302,5.9252951067540955,5.740537943303907,5.48317620665649,1.8000971807252524,9.423616969235145,5.577913415503696,0.0692364703041771,-0.16262452780021075,2.34882753389581,3.498321862481049,0.017078657595465327
ALGOUSDT,7488,53.1784188034188,1.6826923076923077,6.369314330003003,13.087124225340308,13.159226196779176,13.449909859218453,12.796440562901031,9.10621566002774,17.14013476209175,13.1238519076148,0.07384994634381548,-0.32605795160365325,4.415141347370239,3.9809085653125678,0.06852035961029364
NEARUSDT,7488,40.598290598290596,15.18429487179487,2.12686253940799,4.512771487753928,5.448246015351515,5.064619679114113,4.896397823991331,0.6032346746384418,9.357782828467002,4.8919138255954095,0.07358654967485818,-0.17270585351870338,2.3469758302543515,3.909536813115486,0.02111315168917038
AAVEUSDT,7488,42.44123931623932,7.03792735042735,2.06784844653007,8.014196760065442,7.960380103744983,8.139741096201671,7.834835767608753,3.7252796099646126,12.249297253845812,7.990549402246481,0.07088671579343973,-0.14919169395519027,2.1046495423758556,4.288917150100829,0.037370190817600804
FLOKIUSDT,7488,37.526709401709404,17.067307692307693,1.5990057436027887,10.90820562212932,12.51351284354686,11.447582808128592,11.974135657547587,6.194918349679476,17.226800115996703,11.510509819897074,0.09258140117409122,0.06292701176848148,-0.6796938798771552,4.713287272449843,0.0008958025385152219
WAXPUSDT,7488,59.26816239316239,0.1469017094017094,5.45525644510387,28.865019514145636,29.03442006127786,29.307724851214463,28.591714724209037,24.816081612466014,33.083357962957486,28.965121251971176,0.07708926560653669,-0.34260359924328654,4.444245207782028,4.048937901679622,0.07303487937471242
UNIUSDT,7488,42.01388888888889,6.570512820512821,1.8628838395229241,7.049924995443652,7.712980337837765,7.373010239474492,7.389895093806926,3.17616268490126,11.586742648380158,7.331437015659331,0.07732370604230283,-0.04157322381516071,0.5376517234238167,3.873762310542392,0.04267229224105011
ROSEUSDT,7488,49.30555555555556,1.5758547008547008,3.010142594335517,16.477681944356235,16.836062641269546,16.981888120676917,16.331856464948867,11.81155681809993,21.502187767525857,16.656740434167595,0.08775460922340018,-0.3251476865093217,3.705192119100902,4.666125126256304,0.03683938053458896
GRTUSDT,7488,45.539529914529915,2.256944444444444,5.267627953616773,11.466801180671153,11.781091042390722,11.941413141080753,11.30647908198112,7.0011699572125226,16.246722265849353,11.610249287021137,0.07731200022356512,-0.331163854059616,4.283472851588122,4.46563122345863,0.061178303102817876
YFIUSDT,7488,54.567307692307686,0.4674145299145299,4.633579021270935,18.66429199859812,18.76206660650958,19.006381928437627,18.419976676670075,15.112545776838013,22.313812828269686,18.716351797067887,0.06736177334944282,-0.29003013136973976,4.30555962155558,3.551746221760107,0.07210414985818378
OPUSDT,7488,42.70833333333333,5.15491452991453,5.0575078133652305,5.465829099622296,6.0184534339895865,5.804839684094829,5.679442849517054,1.1771144832810774,10.307168050330805,5.701988144423914,0.07889022934476109,-0.10285153967091532,1.303729758744141,4.288714616341219,0.01979401231940423
EGLDUSDT,7488,50.587606837606835,1.3488247863247864,3.7164327873440364,16.230539409128706,16.113533684731767,16.38241982479551,15.961653269064959,12.308063997338555,20.036009096521912,16.17291092197485,0.06962499959536568,-0.2095089028206587,3.009104546330279,3.922475411790151,0.05926349753611933
THETAUSDT,7488,48.55769230769231,1.3354700854700854,7.46606506797379,16.234700617140007,16.487009487468598,16.7052431566927,16.016466947915905,11.676659130131627,21.04505097447698,16.360785312722157,0.08169144847668762,-0.3444578439705417,4.216571628899933,4.55804148700838,0.027273443306780054
ZILUSDT,7488,56.330128205128204,1.1217948717948718,7.350113189733551,20.979740133856996,21.37994827435686,21.509283538907066,20.85040486930679,17.00457763217079,25.355110776043066,21.206015950893413,0.07933126710530782,-0.3032675880136537,3.8228002536639556,3.9751625016862064,0.05916696715108198
ACHUSDT,7488,54.19337606837607,0.9081196581196582,6.044381344081654,27.935335128495744,27.94554102975982,28.01567467978401,27.86520147847155,22.65463699756727,33.226239160688294,27.939728494953545,0.09297166483450318,-0.07594618483046389,0.8168745280151111,5.280698130928474,0.019811037188213833
ZRXUSDT,7488,52.61752136752137,0.5341880341880342,5.3997042217606435,18.944353561297213,19.25018407957704,19.31037684315003,18.884160797724224,14.62327799827736,23.571259642596896,19.107374205289204,0.0805206129588354,-0.20300263786082695,2.5211263352479456,4.321075563019853,0.015236458752576669
LDOUSDT,7488,45.72649572649573,3.4588675213675217,6.318142629307596,11.211103337988277,11.329830138094687,11.648064290191899,10.892869185891064,6.29821215593262,16.242721320150345,11.266555747231658,0.08463491157184319,-0.3815085429602405,4.507697070568724,4.912891182055657,0.04755038096986572
MANAUSDT,7488,48.210470085470085,0.5608974358974359,3.851608490423505,11.976723557991535,11.820776545639854,12.21618779653867,11.581312307092722,7.882773881750688,15.914726221880706,11.900366299341757,0.07375943323844879,-0.31582149719691266,4.281777710736035,4.093949676240848,0.054884051423365054
STORJUSDT,7488,47.88995726495727,1.655982905982906,4.744048591324849,15.895065940393074,15.758192992125906,16.167802473454323,15.485456459064654,11.017423206917467,20.635835725601517,15.830662548475011,0.08928020658024043,-0.33713992497931144,3.7762000995854277,4.877642733475607,0.06957608234364655
RVNUSDT,7488,59.508547008547005,0.18696581196581197,6.9410949982453385,37.79710222852447,37.8956036678837,38.179550522576456,37.513155373831715,33.28942366043416,42.403282235974004,37.85380174279922,0.08157707652544043,-0.3257487797772356,3.9931411329216777,4.507678568090313,0.015843615086131434
FILUSDT,7488,40.491452991452995,7.638888888888889,2.149894360683898,4.243440311118907,4.758163804404833,4.595951725268681,4.405652390255059,0.5376974349102795,8.46390668061346,4.451931446229536,0.07043341670101114,-0.14402027903914494,2.044772010003561,3.7057428762086277,0.03574486704584098
IOTAUSDT,7488,55.42200854700855,0.8413461538461539,6.403184177354287,18.015590125028766,17.83020849816255,18.244652509517326,17.601146113673984,13.512892564305007,22.332906058886305,17.91300801738505,0.08601485450942677,-0.331644492132277,3.855665326922462,4.5026975607237585,0.05626190136446029
POLYXUSDT,7488,52.29700854700855,0.9615384615384616,4.9089634534482265,23.619680080685665,23.608460050303535,23.7955785230255,23.432561607963702,18.83709953874779,28.391040592241414,23.613093281729757,0.08477082749542782,-0.18248524129574406,2.1526891583733394,4.782580541937875,0.008389915512253685
APEUSDT,7488,49.03846153846153,2.2302350427350426,10.447760100272044,11.936769741227971,12.116749455123122,12.369521556720697,11.683997639630395,7.461649838506417,16.59186935784468,12.026142180085094,0.07834804954989319,-0.34337937663560325,4.382743139214132,4.475119902721555,0.07033426563268316
NMRUSDT,7488,56.43696581196581,0.2403846153846154,8.52222888013046,46.55838529424589,46.33566926015019,46.626269741034044,46.267784813362034,41.36277532154394,51.531279232852135,46.43252739593115,0.08552537352764504,-0.19374234510289057,2.265320069491023,5.195609972701945,0.011133814555191699
