break_p_per_qtr,approx_annual,monthlyS_nobreaker,monthlyS_breaker,breaker_retain
0.0,0.0,2.5446814334957395,2.4110997998547203,1.0
0.02,0.07763184000000012,2.2580349486471616,2.3157141586057537,0.9604389493729317
0.05,0.18549375000000012,1.6860530835661542,2.1174255084316256,0.8781990312301506
0.1,0.3439,0.7992698406555094,1.8016597713985147,0.747235668762891
0.2,0.5903999999999999,-0.45639724176139523,1.2095645919486877,0.5016650874516142
