date,sym,episodes,iceberg_rate_pct,hidden_frac_pct
2024-01-15,AVAXUSDT,20789,0.6830535379287123,0.3728475174385974
2024-01-15,BTCUSDT,65794,6.640423138888045,2.571706657685832
2024-01-15,ETHUSDT,59424,5.551628971459343,2.3656504594403733
2024-01-15,SOLUSDT,57404,2.3430422967040623,1.9393223196592628
2024-02-15,AVAXUSDT,31515,1.1169284467713787,1.058468686027455
2024-02-15,BTCUSDT,68583,6.866133006721782,2.2959648923131044
2024-02-15,ETHUSDT,98800,6.942307692307692,2.5061853726048513
2024-02-15,SOLUSDT,60561,3.206684169680157,3.0066004757726925
2024-03-13,AVAXUSDT,59030,3.269523970862273,3.403497144578115
2024-03-13,BTCUSDT,64219,8.545757486102245,3.119358535401476
2024-03-13,ETHUSDT,76720,7.222367049009384,1.7015058459123829
2024-03-13,SOLUSDT,98354,8.25487524655835,2.8926216555329445
2024-04-16,AVAXUSDT,50045,0.5794784693775602,0.5495017615635446
2024-04-16,BTCUSDT,131110,5.43894439783388,2.280607643223975
2024-04-16,ETHUSDT,147065,4.011151531635671,2.476751115760855
2024-04-16,SOLUSDT,177866,4.186297549840892,3.1885225829639365
2024-05-15,AVAXUSDT,17349,1.521701538993602,1.351769819278853
2024-05-15,BTCUSDT,66270,6.942809717821036,2.821450496675606
2024-05-15,ETHUSDT,55822,4.172190175916305,2.2875162254132793
2024-05-15,SOLUSDT,73234,4.343610891116148,3.8861277844634294
2024-06-14,AVAXUSDT,16690,0.9646494907130018,0.8979051618529965
2024-06-14,BTCUSDT,45170,5.5412884657958825,2.372453124135246
2024-06-14,ETHUSDT,55448,4.80450151493291,2.001842904735533
2024-06-14,SOLUSDT,67884,3.5089269931058866,1.6294668896088171
2024-07-15,AVAXUSDT,15820,0.6131479140328698,0.5180307161049172
2024-07-15,BTCUSDT,73229,5.577025495363858,1.9524393049231616
2024-07-15,ETHUSDT,72904,5.552507407000987,2.1882765911821154
2024-07-15,SOLUSDT,63131,3.673314219638529,1.0328952993260316
2024-08-05,AVAXUSDT,83546,1.7834486390730855,1.3942535261307307
2024-08-05,BTCUSDT,362563,9.667009595573735,5.658755068500524
2024-08-05,ETHUSDT,398225,11.133655596710403,7.951880304964848
2024-08-05,SOLUSDT,438265,16.27531288147582,7.662750574246699
2024-08-06,AVAXUSDT,27834,0.3233455486096141,0.45782018130352836
2024-08-06,BTCUSDT,167603,8.209280263479771,3.2248577567445564
2024-08-06,ETHUSDT,185937,7.170708358207349,3.868392262033038
2024-08-06,SOLUSDT,214856,14.318427225676732,3.313972202650431
2024-09-16,AVAXUSDT,10282,0.5251896518187124,0.3282982538216712
2024-09-16,BTCUSDT,58578,22.09703301580798,2.2444127040499438
2024-09-16,ETHUSDT,67569,15.885983217155797,4.8812684264882575
2024-09-16,SOLUSDT,43742,9.231402313565908,1.572725099980793
2024-10-15,AVAXUSDT,28462,1.5880823554212633,0.9571428301975915
2024-10-15,BTCUSDT,95258,20.537907577316343,2.369751008166409
2024-10-15,ETHUSDT,91060,22.8223149571711,3.111967240394852
2024-10-15,SOLUSDT,92360,18.00238198354266,3.161422456343668
2024-11-12,AVAXUSDT,97064,3.395697684002308,1.9983284656250242
2024-11-12,BTCUSDT,198691,11.386021510788108,3.219403314855758
2024-11-12,ETHUSDT,213229,12.282100464758546,5.086757967484531
2024-11-12,SOLUSDT,220471,18.62104313038903,5.087052812565098
2024-12-16,AVAXUSDT,43962,1.6082070879395842,0.8361408842890947
2024-12-16,BTCUSDT,87583,21.35688432686709,4.125274957924883
2024-12-16,ETHUSDT,116419,16.867521624477106,1.9098065110465332
2024-12-16,SOLUSDT,98236,15.66533653650393,2.779281246395795
