split,pair,tr_kappa,tr_halflife,tr_vr,tr_excess,tr_nev,oos_excess,oos_kappa,oos_nev,oos_floor,oos_obs
0,BTCUSDT_ETHUSDT,0.0019682650372713478,352.1615064203302,1.0344814953082384,0.4929376468725307,29,-0.24542450025617135,0.002549983119204677,16,0.9759008729412688,0.7304763726850975
0,BTCUSDT_SOLUSDT,0.0037488884962944393,184.89405092871698,1.055817786632471,0.02305414547661566,33,-0.32018889599217415,0.00035344504592076613,16,1.1245511753819575,0.8043622793897833
0,BTCUSDT_LINKUSDT,0.0021638770896798493,320.326502769387,1.23040089075594,0.050949984553650074,30,-0.029820642197820324,0.0,12,1.0031587358465897,0.9733380936487693
0,BTCUSDT_ADAUSDT,0.0015171017873536982,456.8890408922473,1.1212653735778275,-0.006438386269652985,38,-0.2723036090296561,0.0,16,0.9569111167882098,0.6846075077585537
0,BTCUSDT_USDCUSDT,0.0,inf,1.0246448621624473,0.5448464874115235,29,-0.09021428452410596,0.00023751525365953998,14,0.9729708389233718,0.8827565543992658
0,BTCUSDT_XRPUSDT,0.00016428446558837469,4219.188820303133,0.6804308594162402,0.10353059267555464,31,-0.31117006263629277,0.00042431533134890847,16,1.0858038233766776,0.7746337607403848
0,BTCUSDT_BNBUSDT,0.0012178586116621658,569.1524237069848,0.8884005454350231,0.09693487435514403,35,-0.2110563419408945,0.0005213214017460689,12,0.9857507239956096,0.7746943820547151
0,BTCUSDT_AVAXUSDT,0.0011469067827991589,604.3622646194831,1.1829096268695654,0.20803853853876964,33,-0.025021074147005162,0.00017415194108589985,17,0.9813748095624317,0.9563537354154266
0,BTCUSDT_DOGEUSDT,0.001916113279654562,361.74645200773637,0.7055625829802671,0.1236631129227943,32,-0.3570580980462398,0.00103999133219059,13,1.009529353768748,0.6524712557225082
0,BTCUSDT_FETUSDT,0.0029976405336097477,231.23092071525335,0.8959173127256742,0.16045076254558954,35,-0.10782643111831247,0.003258732832179486,15,1.0204943754817246,0.9126679443634121
