sym,n_days,n_sec,contemp_incr_book,contemp_joint_r2,cancel_share,pred_incr_book_h1,pred_joint_h1,t_book_h1,pred_incr_book_h5,pred_joint_h5,t_book_h5,pred_incr_book_h10,pred_joint_h10,t_book_h10,pred_incr_book_h30,pred_joint_h30,t_book_h30
BTCUSDT,7,604800,0.15475710347480476,0.3220223951807992,0.8016308370910263,0.002902874136697653,0.004560316777605933,36.05965862235927,0.002190056162165721,0.004056592076714383,16.725112503030196,0.001410713864433255,0.0032282962780896263,10.25764344446418,0.0005265838632584341,0.0022193372221684937,4.835527255444882
ETHUSDT,7,604800,0.11371680585330646,0.23009600118063178,0.8030372372639398,0.0012583974692423894,0.002176020794685596,17.261010840965675,0.000838225008003568,0.0027140138245266288,6.814924305516643,0.00030777895072209294,0.003954551663206574,2.597832109171303,0.00019343911366187516,0.0018388043519045327,2.0314926888419276
SOLUSDT,7,604800,0.1993257574983086,0.34235442337559285,0.7677392900432941,0.001563453246562041,0.0018214434094537824,17.889266423092995,0.0010235526774207138,0.0012461381982227238,9.159888649054908,0.0004721057937941975,0.0008284409491746692,5.198094122500245,0.00025270268201049717,0.000915398965517733,3.1010672763487235
LINKUSDT,7,604800,0.2339854289998996,0.3319890605763197,0.9178869647037401,0.0024568791443908555,0.002497469826189702,25.14026171178263,0.002285135376881131,0.0023409029968983752,14.072260061051542,0.0013762637429286517,0.0015004965171995233,8.642418008691223,0.0002006414293544978,0.0002997207025262627,2.555110623835549
ADAUSDT,7,604800,0.3824565519139458,0.5024444787931914,0.8947472082427627,0.0021968849074639474,0.0026435661519395026,25.01986750190073,0.0016833835217298088,0.0021321998896767225,12.514095149046698,0.0009130531925644059,0.001407225470020368,7.4290055492565035,9.955669809547096e-05,0.000993001922093617,1.9677875702731293
USDCUSDT,7,604800,0.06422662390990352,0.1932909549541757,0.6186571451041082,6.509364070983459e-06,0.0015514024973577456,-0.7807637159686245,0.000177309495142719,0.004252690670562664,2.7672938425082902,0.00024224991518195793,0.005345352081366994,2.611227947959566,0.0004641727921586014,0.005996730689798446,3.550668600022889
XRPUSDT,7,604800,0.20085288676698054,0.3445429117855353,0.8276456274972561,0.0014210686946386497,0.0018640777126482933,25.059565683485737,0.0009652690331654057,0.0012226986268148998,12.014797676414494,0.0004405288587853162,0.0007182997662028567,6.4861165104105,3.092230996859513e-05,0.0005159500605301792,1.3651518961631675
BNBUSDT,7,604800,0.33855353643736485,0.47473269986368516,0.7916873827034207,0.0020181688847187296,0.003331824897269242,22.25878113944252,0.0012385019233513983,0.0030177404775945105,10.407520346757712,0.0007359129711019818,0.0025248543907190335,6.607049735346837,7.740149397750251e-05,0.0010535496453175641,1.6736127704948873
AVAXUSDT,7,604800,0.47594782038684713,0.6064485997114255,0.8983467075703695,0.0019765669351871074,0.002299669179979369,21.834103671429457,0.0012977988705895616,0.001580194470297891,10.390410447383863,0.00043402973695738645,0.0007613517488144206,4.889971021917591,1.478583303349268e-06,0.0005695464950946638,0.2221012944540594
DOGEUSDT,7,604800,0.1436963271900673,0.27265245635802837,0.8476292244085254,0.0006805060561074772,0.0008427643219495184,17.057657477958454,0.00031039475587890664,0.00032983829142541055,6.582414383137067,0.0001245193732565264,0.00013721172738323517,3.3611969154314845,1.2314661539614136e-05,3.519994817635652e-05,0.8452518844080564
