symbol,date,n_book_updates,n_trades,bid_size_reduction_base,ask_size_reduction_base,bid_trade_volume,ask_trade_volume,cancel_share_estimate
BTCUSDT,2024-03-13,782259,2501193,69922.77807700001,74595.036547,25872.62835,26787.083426999998,0.6356178515845422
ETHUSDT,2024-03-13,813104,1536457,800177.4908,885100.8173,236165.47480000003,246106.0461,0.7138327132189117
