sym,traded_episodes,iceberg_episodes,iceberg_rate_pct,exec_vol_base,hidden_vol_base,hidden_frac_pct,hidden_frac_notional_pct
BTCUSDT,630006,61745,9.800700310790692,221384.5039,7730.24231,3.4917720860407515,3.4990467017882136
ETHUSDT,536412,30084,5.60837565155142,1826460.0622,47347.3887,2.5923035318368433,2.591657858818418
SOLUSDT,803439,37422,4.65772759350741,27562764.089999996,971622.63,3.525127693388751,3.5121510260035884
AVAXUSDT,323428,7573,2.341479401907071,20101465.43,375019.66000000003,1.8656334350644406,1.852438735944168
