model,T,sr_per_bar,sr_annualized,sr_0_per_bar,sr_0_annualized,DSR,skew,kurt
sklearn_hist_gradient_boosting,6955,0.0883400444054454,8.268175118069957,0.08312881634751652,7.780430896826395,0.6671913234244304,3.029928103184569,143.89533345325196
lstm,6955,0.0863047117181233,8.077678416426078,0.08312881634751652,7.780430896826395,0.5990814451884453,2.1440406423242355,161.36711802549516
zscore_rule,6955,0.08574251142331196,8.025059351989157,0.08312881634751652,7.780430896826395,0.5816431271186175,1.9157931868649338,154.78912581898126
random_stratified,6955,0.05106629320506444,4.779543158392981,0.08312881634751652,7.780430896826395,0.004031559696461378,0.5490585831101225,72.27271972930684
transformer,6955,0.02681488786188886,2.5097359878600995,0.08312881634751652,7.780430896826395,1.4333127210879033e-07,8.203611929610041,319.749908877809
majority_class,6955,0.019880201016494965,1.8606848626021355,0.08312881634751652,7.780430896826395,2.648103526266003e-10,18.7646540108708,956.330627446687
persist_class,6955,0.0,0.0,0.08312881634751652,7.780430896826395,,,
