train_start,train_end,test_end,available_at_train_end,dropped_during_test
2025-08-01 00:00:00+00:00,2025-10-30 00:00:00+00:00,2025-11-29 00:00:00+00:00,195,0
2025-08-31 00:00:00+00:00,2025-11-29 00:00:00+00:00,2025-12-29 00:00:00+00:00,195,0
