model,walk_split,n_bars,mean_pnl,iid_std,hac_std_lag24,iid_pnl_mean_to_std,hac_pnl_mean_to_std_lag24,inflation_factor
persist_class,0,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,0,5000,0.008481468567115399,0.014706285767916905,0.029044514392705872,0.5767240417440066,0.2920161946052506,1.974972800818893
random_stratified,0,5000,0.0003495952775292165,0.014666817987051644,0.014668411561550939,0.023835795728688446,0.023833206210656162,1.000108651685778
zscore_rule,0,5000,0.0030882901254526713,0.01044663034938782,0.02145259468830911,0.2956254813432398,0.1439588157201179,2.0535420485674836
sklearn_hist_gradient_boosting,0,5000,0.004540050823295565,0.016273547167125643,0.029211962119255714,0.27898348016386787,0.15541752398422048,1.7950580668895035
lstm,0,5000,0.0047595230755999975,0.016296201365237076,0.028439713548604077,0.29206334463643613,0.16735481767303567,1.7451744066731674
transformer,0,5000,0.008481468567115399,0.014706285767916905,0.029044514392705872,0.5767240417440066,0.2920161946052506,1.974972800818893
persist_class,1,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,1,5000,0.008427116628796827,0.017075218455706448,0.029211994816289045,0.49352906673826646,0.28848138176779836,1.710783079704995
random_stratified,1,5000,0.00023479456509922333,0.017623017127315125,0.016854796906746003,0.013323176355273417,0.013930429799794777,0.9564081328969257
zscore_rule,1,5000,0.001880078158959384,0.007953378603658946,0.013656315106703492,0.23638735846102626,0.1376709708489743,1.7170457722735484
sklearn_hist_gradient_boosting,1,5000,0.0032723364066080335,0.018697677603945376,0.031153770406984756,0.17501298695606676,0.10503821411851862,1.666183954332972
lstm,1,5000,0.0043148576250773485,0.01854175995560566,0.03157435993836256,0.23271025163783626,0.1366570101025179,1.7028782604219188
transformer,1,5000,0.004172029780899236,0.01857913538704145,0.028841992919193444,0.22455457124281128,0.14465123102235006,1.5523861750482812
persist_class,2,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,2,5000,-0.004126259375636593,0.006815162672513994,0.01331315471960929,-0.6054528077925525,-0.30993851288747654,1.953461033777247
random_stratified,2,5000,0.00010606195432351835,0.007366012481626106,0.00682565589218575,0.014398829025620159,0.015538719794670837,0.9266419123252602
zscore_rule,2,5000,0.001276644788832344,0.00469618835247656,0.011008747553500415,0.27184701570989983,0.11596639696097069,2.344187823662331
sklearn_hist_gradient_boosting,2,5000,0.0021317001154553266,0.007628049954946508,0.015231319398582292,0.2794554477285506,0.13995505311599873,1.9967513962995673
lstm,2,5000,0.00018740429883953115,0.007964969376941633,0.014240470264457144,0.023528564890916145,0.013159979646688665,1.7878876352849407
transformer,2,5000,0.002141059418156812,0.00767403493149167,0.01367947404333919,0.27900047853191556,0.15651620898387805,1.7825660380047539
persist_class,3,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,3,5000,0.003188045654985489,0.006178580290633599,0.010195570237823314,0.5159835277722938,0.3126892935481474,1.6501477294515794
random_stratified,3,5000,0.00016897458889672095,0.006108701521117177,0.006172769831692643,0.02766129402665894,0.027374192381054034,1.0104880407651262
zscore_rule,3,5000,0.001342313055480498,0.004491805739857096,0.008758416316752332,0.2988359544514057,0.15325979114660707,1.9498653379055024
sklearn_hist_gradient_boosting,3,5000,0.002456835343396935,0.006396029893462402,0.010296921431814281,0.3841188024946771,0.238599018130417,1.6098926370464766
lstm,3,5000,0.001629662323335969,0.006645822800700592,0.01059920139104184,0.24521603602855205,0.15375331246308005,1.5948666867742083
transformer,3,5000,0.002975387955939476,0.006283774201106264,0.009929847299247334,0.47350332152540686,0.29964085713231514,1.5802361735880288
persist_class,4,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,4,5000,0.004505480267972867,0.00839768410252073,0.014439811795675737,0.5365146167644551,0.3120179356715795,1.7194992833013738
random_stratified,4,5000,0.0002486779511427776,0.008210636637815141,0.007941968982881194,0.03028729221768984,0.031311876397251054,0.9672780970848759
zscore_rule,4,5000,0.001192830862899154,0.005146188127662838,0.010071307429359777,0.23178920655605392,0.11843853156759222,1.9570422183406848
sklearn_hist_gradient_boosting,4,5000,0.0018089681663913395,0.008770946666226957,0.015471295743350396,0.20624548697313108,0.11692415402044387,1.7639254155909447
lstm,4,5000,0.0025574063389138778,0.009100794232273656,0.014992680945755338,0.28100913762500923,0.17057698674218233,1.6474035741394528
transformer,4,5000,-0.0043995001150636415,0.008397588403129205,0.0142309644686666,-0.5239004228195144,-0.3091498207834301,1.6946489617618907
persist_class,5,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,5,5000,-0.004643775691271787,0.008581949046635173,0.017163379326197506,-0.5411096787031762,-0.2705630169336007,1.9999395513688065
random_stratified,5,5000,-4.768280200137582e-05,0.008648241724797475,0.008323424906417964,-0.005513583398652338,-0.005728747785615141,0.9624412882160602
zscore_rule,5,5000,0.0016675549264715283,0.006054443920449829,0.014199195899323867,0.27542660372806516,0.11744009578394038,2.3452518655534766
sklearn_hist_gradient_boosting,5,5000,0.003017862455300082,0.009213535136301444,0.017864915796515522,0.32754663770800263,0.16892676627609426,1.9389860170096413
lstm,5,5000,0.0023948916030666462,0.009440733119905028,0.017908129743386857,0.2536764436246174,0.13373208913404458,1.8969003271185585
transformer,5,5000,-0.004643775691271787,0.008581949046635173,0.017163379326197506,-0.5411096787031762,-0.2705630169336007,1.9999395513688065
persist_class,6,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,6,5000,0.0032177973818036335,0.005430668857269981,0.010245665700565332,0.5925232170059497,0.3140642566179065,1.8866305366510363
random_stratified,6,5000,0.00016301988459587445,0.005526030923870103,0.005472205747893591,0.029500356918325935,0.029790525449198524,0.9902597041677761
zscore_rule,6,5000,0.0010469078985641848,0.0037695576829774504,0.007546988902769869,0.27772698725152983,0.13871862169824475,2.0020887163633345
sklearn_hist_gradient_boosting,6,5000,0.0016190900887975658,0.005959499360944125,0.010332521280703728,0.271682232136537,0.15669845188911072,1.733790148282995
lstm,6,5000,0.0015174914653101155,0.0060644773881638496,0.010285075491537943,0.25022625498972606,0.1475430556206061,1.6959541330983459
transformer,6,5000,-0.0018354362527860523,0.006039781067873665,0.009227202345146577,-0.3038911894586647,-0.1989157909549339,1.5277378834519675
persist_class,7,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,7,5000,0.0026525457188172597,0.0049272068872770695,0.00928502517025914,0.5383467306125521,0.2856799707246489,1.8844398830166316
random_stratified,7,5000,-1.6627421802300257e-05,0.004749372779275811,0.004663638919645457,-0.0035009721441229174,-0.0035653321555958535,0.9819483827413045
zscore_rule,7,5000,0.0009306545664778695,0.0032417239793573406,0.0071079128530236995,0.2870863072871393,0.13093218582188582,2.192633579627842
sklearn_hist_gradient_boosting,7,5000,0.0018296566716173846,0.005042088380564923,0.008888960952811227,0.36287675532819347,0.20583470681561905,1.7629522296900506
lstm,7,5000,0.0017668056942464411,0.004921918856896764,0.00876851460628336,0.3589668472024344,0.201494297903134,1.7815236011046003
transformer,7,5000,0.001699472214133928,0.00518612677199499,0.01057928317706897,0.32769584872299184,0.16064152794563658,2.039919894399217
persist_class,8,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,8,5000,0.0038022726552269853,0.006395480645862737,0.010168191019685987,0.5945249256108204,0.3739379647634124,1.5899025550587558
random_stratified,8,5000,0.00020887103466788148,0.006231323466616374,0.006583600901924837,0.03351953012660712,0.03172595632381273,1.0565333250947009
zscore_rule,8,5000,0.0011304805936254388,0.004093066400701758,0.007666379935446005,0.2761940518315602,0.14745950541775116,1.8730162633402676
sklearn_hist_gradient_boosting,8,5000,0.0023197601027225533,0.006716363609650667,0.011403068454060795,0.34538929658145906,0.2034329717538838,1.6978039184292903
lstm,8,5000,0.0024737359611581066,0.006819565499549091,0.01122772861829229,0.36274099300339147,0.22032381127629674,1.6463994104953852
transformer,8,5000,0.0012454249787967734,0.007121940049867313,0.014582728493466878,0.17487158977419034,0.08540411208744159,2.0475781025057302
persist_class,9,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,9,5000,-0.004573565103094955,0.008084648536772003,0.01414800113774831,-0.5657098242790236,-0.32326581391714887,1.7499834499171996
random_stratified,9,5000,-4.908190636695275e-06,0.008228894248845316,0.008157041506080924,-0.000596458100963443,-0.0006017121076356311,0.9912682384058497
zscore_rule,9,5000,0.0013250551123867016,0.005507534641071351,0.012055998074009281,0.2405895194022685,0.10990837127315897,2.189000861493282
sklearn_hist_gradient_boosting,9,5000,0.00255316978509806,0.008542541492993416,0.016168275779477596,0.29887707155911003,0.15791231049749907,1.8926774652179095
