model,sharpe,total_return,max_drawdown,n_trades,turnover,win_rate,bars
persist_class,0.0,0.0,0.0,0,0.0,0.0,253
majority_class,0.0,0.0,0.0,0,0.0,0.0,253
zscore_rule,-6.504910129238951,-9868.135463543536,-1116.462187533632,435,9100000.0,0.39655172413793105,253
xgboost,-23.445726614979304,-18286.58307873239,-200.49717400001794,542,12760000.0,0.3675889328063241,253
random_stratified,-86.67543220057496,-89151.12139204869,-89032.53815727493,3270,83020000.0,0.07114624505928854,253
