model,sharpe,total_return,max_drawdown,n_trades,turnover,win_rate,bars
persist_class,0.0,0.0,0.0,0,0.0,0.0,253
majority_class,0.0,0.0,0.0,0,0.0,0.0,253
zscore_rule,-8.446832327788744,-12827.000907874932,-18027.13221132926,435,9100000.0,0.3922413793103448,253
xgboost,-28.041148088813394,-22143.32975031063,-235.98208787875723,542,12760000.0,0.35968379446640314,253
random_stratified,-113.00868976432528,-118188.73905176205,-118029.24127466363,3270,83020000.0,0.043478260869565216,253
